bq#,title,comp_date,composer,dates,arranger,instrumentation,state,ui_library,digitized,notes,column_12,column_13,column_14,column_15,column_16,column_17,column_18,column_19,column_20,column_21,column_22,column_23,column_24,column_25,column_26,column_27,column_28,column_29
215,Rhosymedre,1997,Vaughn Williams,(1872-1958),English,,orig,,y,,,,,,,,,,,,,,,,,,,
216,Andantino,,Sor,,Dickow,,,,,,,,,,,,,,,,,,,,,,,
217,Carmen Prelude to Act I,,Bizet,,Holcombe,,,,,,,,,,,,,,,,,,,,,,,
218,When I'm Sixty-Four,,McCartney,,Holmes,,,,,,,,,,,,,,,,,,,,,,,
219,Light Cavalry Overture,,von Suppe,,Joles,,,,,,,,,,,,,,,,,,,,,,,
220,Ricercar Brevis,,Sweelinck,(1562-1621),Singleton,,,,,,,,,,,,,,,,,,,,,,,
221,Canzona I for Brass Quintet,,Peuerl,(1570-1624),Fitzgerald,,,,,,,,,,,,,,,,,,,,,,,
222,"Ove Sei, Vita Mia",,Lassus,(1532-1594),Kirby,,,,,,,,,,,,,,,,,,,,,,,
223,Four Madrigals,,Gesualdo,(1560-1613),Freedman,,,,,,,,,,,,,,,,,,,,,,,
224,William Byrd Suite,,Byrd,,Allen,,,,,,,,,,,,,,,,,,,,,,,
225,A Purcell Suite,,Purcell,,Benoy,,,,,,,,,,,,,,,,,,,,,,,
226,The Earle of Oxford's Marche,,Byrd,,Dishinger,,,,,,,,,,,,,,,,,,,,,,,
227,Purcell Suite,,Purcell,(1659-1695),Mills,,,,,,,,,,,,,,,,,,,,,,,
228,Minuet from Water Music,,Handel,,Holcombe,,,,,,,,,,,,,,,,,,,,,,,
229,Rigaudon,,Campra,,Kitzerow,,,,,,,,,,,,,,,,,,,,,,,
230,VI. Fugue,,Faure,(1845-1924),Kirby,,,,,,,,,,,,,,,,,,,,,,,
231,Vuelta del Fuego,,McKee,,,,,,,,,,,,,,,,,,,,,,,,,
232,"Brass Quintet, Op. 105",,Tcherepnin,,,,,,,,,,,,,,,,,,,,,,,,,
233,"Brass Quintet No 1 ""Circus""",,Needham,,,,,,,,,,,,,,,,,,,,,,,,,
234,The American,,Howarth,,,,,,,,,,,,,,,,,,,,,,,,,
235,Concertino for Brass Quintet,,Nag,,,,,,,,,,,,,,,,,,,,,,,,,
236,Shepherd's Hey,,Grainger,,,,,,,,,,,,,,,,,,,,,,,,,
237,Music fo Al's Breakfast,1982,Baldwin,,,,,,,,,,,,,,,,,,,,,,,,,
238,More Music for Al's Breakfast,1984,Baldwin,,,,,,,,,,,,,,,,,,,,,,,,,
239,Four Miniatures for Brass Quintet,,Spears,,,,,,,,,,,,,,,,,,,,,,,,,
240,Three Shanties for Brass Quintet,1943,Arnold,,Wick,,,,,,,,,,,,,,,,,,,,,,,
241,Fugue and Variation,,"Johnson, Philip",,,2111,copy,,y,,,,,,,,,,,,,,,,,,,
242,Go!,,DiLorenzo,,,2111,copy,,y,,,,,,,,,,,,,,,,,,,
,The Neighbor Song,2013,Lake Street Dive,,Butterfield,,copy,,,,,,,,,,,,,,,,,,,,,
,Here We Have Idaho,,,,Bukvich,,copy,,,,,,,,,,,,,,,,,,,,,
,Go Vandals!,,,,Bukvich,,copy,,,,,,,,,,,,,,,,,,,,,
,Consort Music for Brass Quintet,,Adson,,Baldwin,2111,o,,y,,,,,,,,,,,,,,,,,,,
,Triptych for Brass Quintet,,"Whettenberg, Charles",,,,org,,y,,,,,,,,,,,,,,,,,,,
,Quintett b moll. op. 5,,Ewald,,,,org,,y,,,,,,,,,,,,,,,,,,,
,Six Quintettes,,Rollè,,,,org,,y,missing trpt 2 mv 3-6,,,,,,,,,,,,,,,,,,
,Quintet in B flat,,"Sanders, Robert",,,,org,,y,,,,,,,,,,,,,,,,,,,
,Europäische Spielmusik für Blechbläser,,"Grad, Toni",,,,org,,y,,,,,,,,,,,,,,,,,,,
,Sonata No. 12,,"Pezel, Johann",,"Greenberg, Norman",,org,,y,,,,,,,,,,,,,,,,,,,
,Danses Hongroises du XVII Seicle,,"Ferenc, Farkas",,,,org,,y,,,,,,,,,,,,,,,,,,,
,Brass Quintets II,,"Scheidt, Samuel",,,,org,,y,,,,,,,,,,,,,,,,,,,
,Brass Quintets I,,"Scheidt, Samuel",,,,org,,y,,,,,,,,,,,,,,,,,,,
,Air for Brass Quintet,,"Bach, J. S.",,,,org,,y,,,,,,,,,,,,,,,,,,,
