Arranger,Composer,Title,Folder/Catalogue #,# Copies,Voicing,Publisher,Publication or Reprint Date,OCLC#,Season / Type,Extra Instruments & Info,,,,,,,,,,,,,,,,,
,"Barber, Samuel",Ad Bibinem cum me rogaret ad cenam,2086,30,SATB,Schirmer,,,,A cappella,,,,,,,,,,,,,,,,,
,"Barber, Samuel",A Nun Takes the Veil,2092,30,TTBB,Schirmer,,,,A cappella,,,,,,,,,,,,,,,,,
,"Barber, Samuel",A Stopwatch and an Ordnance Map,2099,16,TTBB,Schirmer,,,,Kettle Drums,,,,,,,,,,,,,,,,,
,"Barduhn, Dave",Almost Like Being in Love,1157,8,3-part,Creative World,,,Jazz,Rhythm section,,,,,,,,,,,,,,,,,
,"Barduhn, Dave",Don't Worry 'Bout Me,1262,20,SATTB,Copies,,,Jazz,Rhythm section,,,,,,,,,,,,,,,,,
,"Barlow, Richard",Where Runs the River,46,57,SATB,J. Fischer,,,,a cappella,,,,,,,,,,,,,,,,,
,"Barnard, John",God Has Come In,1617,35,SATB,Oxford,,,Christmas,Piano,,,,,,,,,,,,,,,,,
,"Barnum, Eric",Afternoon On a Hill,1923 /2 envelopes,30,SATB,Walton music,,,,Divisi,,,,,,,,,,,,,,,,,
,"Barnum, Eric W.",Sweeter Still: A Holiday Carol,2005,52,SATB,Walton,,,Christmas,A cappella,,,,,,,,,,,,,,,,,
,"Barnum, Eric William",The Stars Stand Up In The Air,2286,30,SATB,Walton,,,,"A cappella, divisi",,,,,,,,,,,,,,,,,
"Leyden, Norman","Bart, Lionel",Oliver: Choral Selections,47,31,SATB,Hollis Music ,,,,,,,,,,,,,,,,,,,,,
,"Bartholdy, F. M.",Sachs Lieder,2427,28,SATB,No info,,,,A cappella,,,,,,,,,,,,,,,,,
,"Bartholdy, Felix Mendelssohn",Drei Motetten,2299,29,SSA,GIA publications,,,,Organ,,,,,,,,,,,,,,,,,
,Bartholomew,Little Innocent Lamb,1390,35,SATB,G. Schirmer,,,Spiritual,A cappella,,,,,,,,,,,,,,,,,
"Frackenpohl, Arthur","Bartlet, John",Whither Runeth My Sweethart,2478,2,SAB,Edward B Marks,,,,Guitar and piano,,,,,,,,,,,,,,,,,
,"Bartok, Bela",Four Slovak Folk Songs,860,24,SATB,Boosey & Hawkes,,,Collection,Piano,,,,,,,,,,,,,,,,,
,"Bartok, Bela",Finding a Husband,48 /2 envelopes,41,SSAATTBB,Boosey & Hawkes,,,,a cappella,,,,,,,,,,,,,,,,,
,"Baska, Robert",Walking So Early,1027,25,SATB,Broude ,,,,A cappella,,,,,,,,,,,,,,,,,
,"Basket, Paul",Allelujah,1773,16,SATB,Colla Voce,,,,Horn and Percussion,,,,,,,,,,,,,,,,,
,"Basler, Paul",Portones abiertos y rostros brillantes,1653,37,SATB,Walton Music,,,"From ""Dos Canciones""",piano,,,,,,,,,,,,,,,,,
,"Basler, Paul","Psalm 23 (from ""Songs of Faith"")",2344,23,SATB,Colla Voce,,,,Piano and horn,,,,,,,,,,,,,,,,,
,"Basler, Paul",Agnus Dei (from Missa Kenya),1924 /4 envelopes,75,SATB,Plymouth music company,,,,"Piano, horn, percussion",,,,,,,,,,,,,,,,,
,"Basler, Paul",Gloria (from Missa Kenya),1925 /4 envelopes,75,SATB,Colla voce,,,,Percussion,,,,,,,,,,,,,,,,,
,"Basler, Paul","Alleluia (from ""Songs of Faith"")",2051 /2 envelopes,29,SATB,Colla voce,,,,"Piano, horn, percussion parts included",,,,,,,,,,,,,,,,,
,"Bass, Randolph Alan",Gloria,1665,1,SATB,Plymouth ,,,,Organ and orchestra ,,,,,,,,,,,,,,,,,
Ringwald,"Bates, Katherine Lee",America the Beautiful,49,55,SATB,Shawnee Press,,,,a cappella,,,,,,,,,,,,,,,,,
,"Batten, Adrian",O Sing Joyfully,1926,20,SATB,CPD,,,,A cappella,,,,,,,,,,,,,,,,,
,"Bax, Clifford/Ringwald, Roy",Turn Back O Man!,1529,3,SATB,Shawnee Press,,,,Piano or organ,,,,,,,,,,,,,,,,,
,"Baxter, Francis",Kiso Bushi,1624,35,SATB,Santa Barbara Music,,,Japanese folk song,"Piano, wood block",,,,,,,,,,,,,,,,,
"Shaw, Robert","Becaud, Gilbert",Let It Be Me,1238,12,SATB,Hal Leonard,,,Jazz,"Rhythm section, trpt, alto, trb.",,,,,,,,,,,,,,,,,
,"Beck, John Ness",Canticle of Praises,50,36,SATB,,,,,piano or organ,,,,,,,,,,,,,,,,,
,"Beck, John Ness",Once in Royal David's City,1392,4,SATB,Sacred Music Press,,,Christmas,Piano,,,,,,,,,,,,,,,,,
,"Beecher, W. Gordon","Ramparts We Watch, The",51,20,SATB,Sam Fox,,,,piano,,,,,,,,,,,,,,,,,
,"Beeson, Jack",Boys and Girls Together,2513,2,SATB,Boosey & Hawkes,,,Round,A cappella,,,,,,,,,,,,,,,,,
,"Beeson, Jack",Give The Poor Singer A Penny,2514,2,SATB,Boosey & Hawkes,,,Round,A cappella,,,,,,,,,,,,,,,,,
,"Beeson, Jack",Greener Pastures,2515,2,SATB,Boosey & Hawkes,,,Round,A cappella,,,,,,,,,,,,,,,,,
"Spicker, Max",Beethoven,Hymn To Night,2240,25,SSAA,Schirmer,,,,Organ or piano,,,,,,,,,,,,,,,,,
Emerson,"Beethoven, L.V.",Ode to Joy,1020,20,3-part,Jenson,,,,Piano,,,,,,,,,,,,,,,,,
,"Beethoven, L.V.",A Calm Sea & Prosperous Voyage?,1291,50,SATB,Belwin Mills,,,,Orchestra,,,,,,,,,,,,,,,,,
,"Beethoven, L.V.",Mass in C Major Opus 86,1815,4,SATB,Kalmus,,,Extended Work,"Choir, soloists, and orchestra",,,,,,,,,,,,,,,,,
,"Beethoven, L.V.",Symphony No. 9,2606,43,SATB,Kalmus,,,Extended Work,Orchestra,,,,,,,,,,,,,,,,,
,"Beethoven, L.V.",Hallelujah Chorus (from Mount of Olives),940 /2 envelopes,31,SATB,Oliver Ditson ,,,"From ""Mount of Olives""",Piano,,,,,,,,,,,,,,,,,
,"Beethoven, L.V.","Choral Fantasia, The",954 /4 envelopes,70,SSATB,H.W. Gray,,,,Piano and Orchestra parts included,,,,,,,,,,,,,,,,,
Lobjeski,"Bell, Thom",Life Is a Song Worth Singing,1216,15,SATB,Hal Leonard,,,Pop,"Piano, opt rhythm section",,,,,,,,,,,,,,,,,
,"Bennett, Charles, A.",Sick of the Songs of the Sea,2165,15,TTBB,Hal Leonard,,,,Piano,,,,,,,,,,,,,,,,,
,"Bennett, Robert",Carol Cantata III,921,6,SATB,Lawson-Gould,,,Christmas,Piano,,,,,,,,,,,,,,,,,
"Davis, Katherine K.","Beobide, J.M.",Tantrum ergo,1331,21,SSA,Schirmer,,,Motet,A cappella,,,,,,,,,,,,,,,,,
