Library,Composer,Arranger,Title,Drawer,Envelope,Copies,Type,Publisher,PerformanceDate,PlayingTime,Score,Comments
Marching Band,Fogarty,Yoder,Saturday afternoons,9,2-339,,,Keys-Hansen,,,,
Marching Band,Foster,Heine,"Oh, Susanna",8,2-224,,,Fox,,,,
Marching Band,Foster,McLeod,"Oh, Susanna",8,2-201,,,Schmitt,,,,
Marching Band,Fox/Robbin,Kenny,Wide world of sports,10,2-421,,,,,,,
Marching Band,"Franck, Cesar","Wilson, George",Panis Angelicus,2,1-71,,,Fischer,,3:00,Cond,
Marching Band,Frangkiser,,Honor Bright,16,3-187,,,Belwin,,,,
Marching Band,Frangkiser,,Telecast Overture,Wksh 15,3-132,,Overture,Belwin,,,,
Marching Band,Fred,,Country dance,Wksh 24,3-72,,Dance,Belwin,,,Full,
Marching Band,friedman,leidzen,Down the field,5,2-38,,March,Feist,,,,
Marching Band,"Friend, Clare, Brown",Osterling,Then I'll Be happy,9,2-320,,,,,,,
Marching Band,Friml,Schoenfeld,March of the Musketeers,10,2-84,,Concert march,Harms,,,,
Marching Band,Frontiere,,Hang'em High,11,2-427,,,,,,,
Marching Band,Fucik-Laurendeau,Seredy,Thunder & Blazes,7,2-143,,March,Fischer,,,,
Marching Band,"Gershwin, George",Billingsley,Show Business,9,2-293,,Football,MS,,,,
Marching Band,"Gershwin, George",Halle,Strike up the band,8,2-192,,Pop,Harms,,,,
Marching Band,"Gershwin, George",Moffit,But Not For Me,10,2-390,,,New World Music,,,Full,
Marching Band,"Gershwin, George",Moffit,Swannee,10,2-392,,,New Wold Music,,,Full,
Marching Band,"Gershwin, George",Watson,the little Rhapsody in Blue,2,1-79,,,Harms,,3:15,Cond.,No Piano
Marching Band,"Gershwin, George",,Strike up the band for UCLA,2,1-88,,Military fox trot,Harms,,,,w/ strings
Marching Band,Gill,,Anthes March,5,2-8,,March,Star,,,,
Marching Band,Gimbel/Fox,Hill,Happy days,11,2-440,,,,,,,
Marching Band,Giovannini,Powers,Alla Barocco,11,2-470,,Marching band,Sam Fox,,,,
Marching Band,Giovannini,,Overture in Bb,17,3-234,,Workshop,Sam Fox,,,Full,
Marching Band,Goldman,Lake,On the Mall,6,2-103,,March,Fischer,,,,
Marching Band,Goldman,Leidzen,Patience & Fortitude,6,2-110,,March,Fischer,,,,
Marching Band,Goldman,,Cherokee,5,2-23,,March,Fischer,,,,
Marching Band,Goldman,,Golden gate,5,2-52,,March,Belwin,,,,
Marching Band,Goldman,,On the hudson,9,2-265,,Concert march,Templeton,,,,Amry rotc
Marching Band,"Goldman, Edwin Franco",,Kindergarten March,1,1-49,,Fantasy,Mills,,,Cond.,
Marching Band,"Goldman, Edwin Franco",,Shenandoah,7,2-123,,March,Schirmer,,,,
Marching Band,"Goldmark, Carl",Lake,In the garden,1,1-45,,Selection,,,,Cond.,"From ""rural wedding sym"""
Marching Band,"Goldmark, Gold",Laurendeau,Bridal Song,1,1-15,,Intermezzo,,,3:00,Cond.,"from ""Rural Wedding Symphony"""
Marching Band,"Gould, Morton",Yoder,Pavanne,2,1-76,,Dance,Mills,,,Cond,2nd mvt. Of American Symphonette #2
Marching Band,Grafulla,,Washington Greys,7,2-155,,March,Fischer,,,,
Marching Band,Graham,,Little Mo,WK 15,3-118,,Overture,Pro-Art,,,,
Marching Band,"Granados, Enrique",Gordon,"Last Paven, The",16,3-176,,,Sam Fox,,,,
Marching Band,Green,Bukvich,Chromatic Fox trot,,839,,Xylphone solo w. accomp.,,,,,
Marching Band,Hadel,Gordon,Two 18th Century dances,15,3-147,,,Bourne,,,Full,
Marching Band,Hall,Eisenberg,Eyes of texas,7,2-182,,Medley,Volkwein,,,,
Marching Band,Hall,,Independentia,6,2-68,,March,Fischer,,,,
Marching Band,Hall,,New Colonial March,6,2-98,,March,Church,,,,
Marching Band,Hall,,Officer of the Day,6,2-99,,March,Lyon & Healy,,,,
Marching Band,Hall,,SIBA,7,2-126,,March,Fischer,,,,
Marching Band,"Hamm, Be-nett, Lown, Gray","Cacavas, John","Bye, Bye Blues",9,2-326,,,Bourne,,,,
Marching Band,Handel,Malin,Water music,1,1-1,,Orchestral Exerpt,Boosey & Hawkes,,,,
Marching Band,"Handel, G.F.","Malin, Don",Allegro maestoso,1,1-1,,Exerpt,Boosey & Hawkes,,Cond,"from \""Water Music\""",
Marching Band,Handy,Cooke,Let us cheer the weary traveler,11,2-447,,,,,,,
Marching Band,Handy - Gray,Burgett,St. louis Blues march,8,2-191,,March,Handy,,,,
Marching Band,Harline,Beeler,When you wish upon a star,14,3-70,,,Bourne,,,Full,
Marching Band,"Hartford, J.",,Gentle on my mind,10,2-416,,,,,,,
Marching Band,Hathaway,,Short'nin' Bread special,Wksh 15,3-115,,Novelty,Bourne,,,,
Marching Band,"Havlicek, Lumir",,Sunset Trail,17,3-209,,Overture,Belwin,,,,
Marching Band,Hayes,,Necoid,6,2-97,,March,fillmore,,,,
Marching Band,Helbig,,Introduction & Tango,Wksh 14,3-80,,,Bourne,,3:30,,
Marching Band,Helbig,,Short Piece for Band,Wksh 14,3-92,,Concert,Bourne,,2:30,Full,
Marching Band,Herbert,Leidzen,Cosmopolitan,5,2-33,,March,Feist,,,,
Marching Band,Herfurth,,Mexian Dance,15,3-112,,,Bourne,,,,
Marching Band,Herfurth,,Overture Moderne,15,3-109,,,Bourne,,,,
Marching Band,Herfurth,,Triumphaht,wksh 15,3-127,,Processional,Bourne,,,Full,
Marching Band,"Herfuth, Paul",,Mexican dance,Wksh 15,3-112,,,Bourne,,,,
Marching Band,"Herfuth, Paul",,Old Time waltz Medley,15,3-114,,Elementary,Bourne,,,,
Marching Band,Hill,,Hand Me Down My Walking Cane,Wksh 15,3-126,,Swing Novelty,Bourne,,,,
Marching Band,"Hill, William",,Men of Custer,35,541,,Symp. March,Byron-Douglas,,,Cond,Workshop
Marching Band,Hoisington,Alford,"Liberator, the",6,2-75,,March,Hoisington,,,,
Marching Band,Holland/Dozier/Devol,,Happening. The,10,2-412,,,,,,,
Marching Band,"Holmes, Jake",Kerchner,Feelin' 7 up,12,2-504,,March,Seven-up company,,,,
Marching Band,Holt/calvi,Cable,One of those songs,9,2-300,,,,,,,
Marching Band,Holzmann,Lampe,Spirit of Independence,7,2-131,,March,Remick,,,,
Marching Band,"Homes, John","Sweeney, Mike",Don't you feel good about 7 up,12,2-496,,,7 up,,,,
Marching Band,Howell,Swingley,Up with montana,9,2-299,,,,,,,
Marching Band,Howell,Teel,Up with montana,8,2-230,,,MS,,,,
Marching Band,Huffer,,Black Jack march,5,2-14,,March,Cole,,,,
Marching Band,"Huffine, G.H",,Them Basses,12,2-505,,,Fillmore,,,,
Marching Band,Hughes,harris,St. Julian,7,2-133,,March,Cundy-Bettoney,,,,
Marching Band,Humperdinck,Erickson,Hansel & Gretel Overture,16,3-194,,,Belwin,,,,
Marching Band,Jackson,,High Barbary,Wksh 13,3-27,,Overture,Bourne,,,Full,
Marching Band,"Jarnefelt, Armas",Lake,Prelude & Berceuse,2,1-73,,,Fischer,,,Cond,
Marching Band,"Jenkins, J.W.",,Charles Country Overture,Wksh 15,3-100,,,Bourne,,,Full,
Marching Band,Jerry Feilding,,Hogan's heros March,12,2-492,,,Leonard,,,,
Marching Band,Jessel,,Parade of the Wooden Soliders,6,2-109,,March,Marks,,,,
Marching Band,Jewell,Nine,Screamer,2-263,march,,Barnhouse,,,,,AMRY ROTC
Marching Band,Johnson,,Choo-Choo- to Idaho,8,2-225,,Pep song,Manuscript,,,,
Marching Band,Johnson,,Crimson Dawn,Wksh 14,3-58,,Overture,Belwin,,,Full,
Marching Band,Johnson & Chaloner,,Divertimento for band,Wksh 16,3-179,,,Bourne,,,,
Marching Band,"Johnson, Clair",,Mountain Home,16,3-159,,Overture,Belwin,,,,
Marching Band,"Johnson, Clair",,Westward ho!,16,3-153,,"March, Nocturn",Belwin,,,,
Marching Band,Johnston,,Stand up and cheer,7,2-181,,,,,,,
Marching Band,"Johnston, D",,Ritual for Band,16,3-168,,,Bourne,,,Full,
Marching Band,"Jolson, Rose, Dreyer",Warrington,Back in your own back yard,9,2-330,,,Bourne,,,,
Marching Band,Jones,Cable,Ironside theme,11,2-478,,,,,,,
Marching Band,Joplin,Walters,Maple Leaf Rag march,9,2-340,,Jazz March,Rubank,,,,
Marching Band,Jude,"DeVille, Paul",The mighty Deep,2,1-59,,Tuba solo & band,Fischer,,,,
