library,composer,arranger,title,publisher,b-81.0,score,missing_parts,comments,drawer,type,column_12,column_13,column_14,column_15,column_16,column_17,column_18,column_19,column_20,column_21,column_22,column_23,column_24,column_25,column_26
Orchestra,"Mussorgsky, Modest","Kindler, Hans",Boris Godumow - Love Music,Mills,M-26.0,Full,,,7,Misc.,,,,,,,,,,,,,,,
Orchestra,"Mussorgsky, Modest","Reibold, Bruno",Great Gate of Kiev,Fitzsimmons,M-27.0,,,,7,Misc.,,,,,,,,,,,,,,,
Orchestra,"Mussorgsky, Modest",,,Kalmus,M-28.0,,,,7,Misc.,,,,,,,,,,,,,,,
Orchestra,"Nelhybel, Vaclav",,Overture for Orchestra,Lucks,N-1.1,Full,,,8,Overture,,,,,,,,,,,,,,,
Orchestra,"Nessler, Victor",,Der Trompeter von Sakkingen - It Was Not So To Be,Leo Feist,V-4.0 (A & B),,,Album of Operatic Airs - Filed under Verdi - Aida,11,Misc.,,,,,,,,,,,,,,,
Orchestra,"Nicolai, Otto",,The Merry Wives of Windsor - Overture,Breitkopf & Hartel,N-1.0,Full,,,8,Overtue,,,,,,,,,,,,,,,
Orchestra,"Nielson, Carl",,"Helios Overture, Op. 17",Lucks,N-5.0,,,,8,Overture,,,,,,,,,,,,,,,
Orchestra,O'Neill,,Ithaca Suite,Almita Music,1,,,,8,String,,,,,,,,,,,,,,,
Orchestra,"Pachelbel, Johann","Ades, Hawley",Canon,Shawnee Press,0.1,,,,8,String,,,,,,,,,,,,,,,
Orchestra,"Pergolese, G.B.",,Stabat mater,Kalmus,P-1.0,,,,8,Choruse with Orchestra,,,,,,,,,,,,,,,
Orchestra,"Pergolese, G.B.",,Stabat Mater,Kalmus,P-1.0,,,,8,Chorus & Orchestra,,,,,,,,,,,,,,,
Orchestra,"Pierne, Gabriel",,March of the Tin Soldiers,,S-30.0,Piano,,"With ""Bohemiana"" by Lee Orean Smith",10,March,,,,,,,,,,,,,,,
Orchestra,"Ponchielli, Amilcare",,La Gioconda,,P 2.1,,,,,,,,,,,,,,,,,,,,
Orchestra,"Ponchielli, Amilcare",,"""La Gioconda"" - Voce di donna",Lucks,P-2.0,Full,,,8,Misc.,,,,,,,,,,,,,,,
Orchestra,"Powell, Laurence",,Penny Overture,Concert Music pub.,P-3.0,Piano,,,8,Overture,,,,,,,,,,,,,,,
